"Year of initiation","Short case name","Applicable IIA","Arbitral rules","Administering institution","Summary","Details of investment","Outcome of original proceedings","Respondent State","Respondent HDI","Home State of investor","Claimant HDI","Economic sector","Economic subsector","Arbitrators","Amount claimed","Amount awarded (or settled for)","Breaches alleged","Breaches found","Decisions","Individual opinions","Follow-on proceeding type","Follow-on proceeding status","Follow-on decisions","Follow-on individual opinions","ICSID annulment committee members","aPresidentC","aRespondentC","aClaimantC"
2018,"Abanto v. Venezuela","Peru - Venezuela, Bolivarian Republic of BIT (1996)","ICSID AF","ICSID","Investment: Ownership of OmnivisiÇün C.A., a local company holding telecommunications licences, via an indirect shareholding of 100 per cent.                        Summary: Claims arising out of the Governmentƒ??s alleged seizure of the claimantƒ??s telecommunications company, including the eviction of the companyƒ??s employees from the property and the companyƒ??s placement under the control of a court-appointed audit board, due to alleged connections to criminal wrongdoing by third parties. According to the claimant, the company was transferred to private owners connected to the Government and subsequently dismantled.","Ownership of OmnivisiÇün C.A., a local company holding telecommunications licences, via an indirect shareholding of 100 per cent.","Pending","Venezuela (Bolivarian Republic of)","0.761","Peru","0.75","Tertiary: J - Information and communication","61 - Telecommunications","Data not available","102.00","Null","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarMost-favoured nation treatmentDirect expropriation","Pending","None","None","None","None","None","None","None","NA","NA","NA"
2018,"Alcor v. Czech Republic","Czech Republic - United Arab Emirates BIT (1994)","UNCITRAL","PCA","Investment:                         Summary: Claims arising out of the alleged refusal of the City of Prague to conclude a lease agreement with the claimant.","","Pending","Czechia","0.888","United Arab Emirates","0.863","Data not available","Data not available","Greenwood, C. - PresidentWilmot-Smith, R. - ClaimantMcRae, D. M. - Respondent","22.60","Null","Data not available","Pending","None","None","None","None","None","None","None","Greenwood, C.","McRae, D. M.","Wilmot-Smith, R."
2018,"Alicia Grace and others v. Mexico","NAFTA (1992)","UNCITRAL","ICSID","Investment: Shareholding of 43.2 per cent in Integradora de Servicios Petroleros Oro Negro, S.A.P.I. de C.V. (ƒ??Oro Negroƒ?) and 99.9 per cent shareholding in the subsidiary company, Perforadora Oro Negro, S. de R.L. de C.V. (ƒ??Perforadora Oro Negroƒ?).                        Summary: Claims arising out of the early termination of lease agreements by PetrÇüleos Mexicanos (Pemex), a state-owned oil company, for five offshore oil drilling platforms owned by Oro Negroƒ??s subsidiary which is controlled by the claimants.","Shareholding of 43.2 per cent in Integradora de Servicios Petroleros Oro Negro, S.A.P.I. de C.V. (ƒ??Oro Negroƒ?) and 99.9 per cent shareholding in the subsidiary company, Perforadora Oro Negro, S. de R.L. de C.V. (ƒ??Perforadora Oro Negroƒ?).","Pending","Mexico","0.774","United States","0.924","Tertiary: N - Administrative and support service activities","77 - Rental and leasing activities","FernÇ­ndez Arroyo, D. P. - PresidentJana Linetzky, A. - ClaimantBottini, G. - Respondent","700.00","Null","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsIndirect expropriation","Pending","None","None","None","None","None","None","None","FernÇ­ndez Arroyo, D. P.","Bottini, G.","Jana Linetzky, A."
2018,"Al-Tuwairqi v. Pakistan","OIC Investment Agreement (1981)","UNCITRAL","PCA","Investment: Investments in a steel manufacturing plant in Bin Qasim, Karachi, constructed and operated by local subsidiary Tuwairqi Steel Mills Limited as part of a joint venture.                        Summary:","Investments in a steel manufacturing plant in Bin Qasim, Karachi, constructed and operated by local subsidiary Tuwairqi Steel Mills Limited as part of a joint venture.","Pending","Pakistan","0.562","Saudi Arabia","0.853","Secondary: C - Manufacturing","24 - Manufacture of basic metals","Name not available - PresidentName not available - ClaimantName not available - Respondent","500.00","Null","Data not available","Pending","None","None","None","None","None","None","None","Name not available","Name not available","Name not available"
2018,"beIN v. Saudi Arabia","OIC Investment Agreement (1981)","UNCITRAL","Data not available","Investment: Broadcasting licence to offer pay television services in Saudi Arabia and ownership of local subsidiary, Al Oula Al Raeda Trading Company, for retail operations.                        Summary: Claims arising out of government authoritiesƒ?? alleged measures to stop the claimantƒ??s broadcasting operations in the country, after Saudi Arabia suspended diplomatic relations with Qatar in 2017. This allegedly included the non-renewal of the claimantƒ??s Pay TV broadcasting licence and the denial of licences required by the claimantƒ??s subsidiary.","Broadcasting licence to offer pay television services in Saudi Arabia and ownership of local subsidiary, Al Oula Al Raeda Trading Company, for retail operations.","Pending","Saudi Arabia","0.853","Qatar","0.856","Tertiary: J - Information and communication","60 - Programming and broadcasting activities","Data not available","1000.00","Null","Full protection and security, or similarTransfer of fundsDirect expropriation","Pending","None","None","None","None","None","None","None","NA","NA","NA"
2018,"Borkowski and Rasia FZE v. Armenia","Armenia - United States of America BIT (1992)","ICSID","ICSID","Investment: Concessions to construct and operate railway and highway routes.                        Summary: Claims arising out of the Governmentƒ??s alleged breach of concession contracts granted to the claimants by turning to other companies for the implementation of the infrastructure projects.","Concessions to construct and operate railway and highway routes.","Pending","Armenia","0.755","United States","0.924","Tertiary: H - Transportation and storageTertiary: F - Construction","49 - Land transport and transport via pipelines42 - Civil engineering","Beechey, J. - ClaimantThomas, J. C. - RespondentKalicki, J. E. - President","150.00","Null","Data not available","Pending","None","None","None","None","None","None","None","Kalicki, J. E.","Thomas, J. C.","Beechey, J."
2018,"Carrizosa Gelzis v. Colombia (I)","Colombia - United States TPA (2006)","UNCITRAL","PCA","Investment: Shareholding in Banco Granahorrar, a Colombian bank.                        Summary: Claims arising out of the Governmentƒ??s allegedly disproportionate and discriminatory measures against Banco Granahorrar, including placing the bank under new management and its ultimate nationalization in 1998, as well as the Colombian Constitutional Courtƒ??s 2014 decision that no compensation was due to the claimants.","Shareholding in Banco Granahorrar, a Colombian bank.","Pending","Colombia","0.747","United States","0.924","Tertiary: K - Financial and insurance activities","64 - Financial service activities, except insurance and pension funding","Ferrari, F. - ClaimantDouglas, Z. - Respondent (replaced)Beechey, J. - PresidentSÇôderlund, C. - Respondent","323.00","Null","Direct expropriation","Pending","None","None","None","None","None","None","None","Beechey, J.","SÇôderlund, C.","Ferrari, F."
2018,"Carrizosa v. Colombia (II)","Colombia - United States TPA (2006)","ICSID","ICSID","Investment: Shareholding in Banco Granahorrar, a Colombian bank.                        Summary: Claims arising out of the Governmentƒ??s allegedly disproportionate and discriminatory measures against Banco Granahorrar, including placing the bank under new management and its ultimate nationalization in 1998, as well as the Colombian Constitutional Courtƒ??s 2014 decision that no compensation was due to the claimants.","Shareholding in Banco Granahorrar, a Colombian bank.","Pending","Colombia","0.747","United States","0.924","Tertiary: K - Financial and insurance activities","64 - Financial service activities, except insurance and pension funding","Kaufmann-Kohler, G. - PresidentFernÇ­ndez Arroyo, D. P. - ClaimantSÇôderlund, C. - Respondent","40.00","Null","Direct expropriation","Pending","None","None","None","None","None","None","None","Kaufmann-Kohler, G.","SÇôderlund, C.","FernÇ­ndez Arroyo, D. P."
2018,"Doutremepuich v. Mauritius","France - Mauritius BIT (1973)","UNCITRAL","PCA","Investment: Ownership of three locally incorporated enterprises for the construction and operation of a forensic DNA and paternity testing laboratory in Mauritius.                        Summary: Claims arising out of the termination by the Government of the claimantsƒ?? project to open a new medical laboratory, after the Government had initially approved the project.","Ownership of three locally incorporated enterprises for the construction and operation of a forensic DNA and paternity testing laboratory in Mauritius.","Pending","Mauritius","0.79","France","0.901","Tertiary: Q - Human health and social work activities","86 - Human health activities","Scherer, M. - PresidentCaprasse, O. - ClaimantPaulsson, J. - Respondent","14.30","Null","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Pending","None","None","None","None","None","None","None","Scherer, M.","Paulsson, J.","Caprasse, O."
2018,"ELA v. Estonia","Estonia - United States of America BIT (1994)","UNCITRAL","Data not available","Investment: Ownership of Estonian companies that owned and operated the port of Lennusadam in Tallinn.                        Summary: Claims arising out of the Governmentƒ??s alleged interference with the claimantƒ??s investment in the port of Lennusadam, including the invalidation by Estonian courts of the property title to the port, seizure of the claimantƒ??s assets and criminal prosecution of the claimantƒ??s officers.","Ownership of Estonian companies that owned and operated the port of Lennusadam in Tallinn.","Pending","Estonia","0.871","United States","0.924","Tertiary: H - Transportation and storage","52 - Warehousing and support activities for transportation","Name not available - PresidentName not available - ClaimantName not available - Respondent","150.00","Null","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsNational treatmentMost-favoured nation treatmentUmbrella clauseDirect expropriationOther","Pending","None","None","None","None","None","None","None","Name not available","Name not available","Name not available"
2018,"Elliott v. Korea","Korea - US FTA (2007)","UNCITRAL","PCA","Investment: Shareholding in the Samsung C&T Corporation.                        Summary: Claims arising out of the Governmentƒ??s conduct that allegedly led to the merger of Samsung C&T Corporation with Cheil Industries and thereby caused financial losses to the claimant.","Shareholding in the Samsung C&T Corporation.","Pending","Korea (Republic of)","0.903","United States","0.924","Data not available","Data not available","Name not available - PresidentGaribaldi, O. M. - ClaimantName not available - Respondent","770.00","Null","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsNational treatment","Pending","None","None","None","None","None","None","None","Name not available","Name not available","Garibaldi, O. M."
2018,"EnagÇ­s v. Peru","Peru - Spain BIT (1994)","ICSID","ICSID","Investment: A 25% stake in a 34-year concession to build a 1100-kilometre natural gas pipeline, known as the Gasoducto del Sur Peruano (ƒ??GSPƒ?) pipeline project.                        Summary: Claims arising out of Peruƒ??s cancellation of a concession contract to build a natural gas pipeline.","A 25% stake in a 34-year concession to build a 1100-kilometre natural gas pipeline, known as the Gasoducto del Sur Peruano (ƒ??GSPƒ?) pipeline project.","Pending","Peru","0.75","Spain","0.891","Tertiary: F - Construction","42 - Civil engineering","FernÇ­ndez Arroyo, D. P. - PresidentJana Linetzky, A. - Claimantvon Wobeser, C. - Respondent","265.00","Null","Data not available","Pending","None","None","None","None","None","None","None","FernÇ­ndez Arroyo, D. P.","von Wobeser, C.","Jana Linetzky, A."
2018,"Ersoy v. Azerbaijan","Azerbaijan - Turkey BIT (1994)","ICSID","ICSID","Investment: Ownership of a locally-incorporated company that held contracts for the construction of two water and sewage collector tunnels in Baku.                        Summary: Claims arising out of Azerbaijani water and tax authoritiesƒ?? alleged unfair treatment and indirect expropriation of the claimantƒ??s investment in a tunnel construction project.","Ownership of a locally-incorporated company that held contracts for the construction of two water and sewage collector tunnels in Baku.","Pending","Azerbaijan","0.757","Turkey","0.791","Tertiary: F - Construction","42 - Civil engineering","Shore, L. - PresidentZuleta, E. - President (replaced)Petrochilos, G. - ClaimantKalicki, J. E. - Respondent","60.00","Null","Data not available","Pending","None","None","None","None","None","None","None","Shore, L.","Kalicki, J. E.","Petrochilos, G."
2018,"Galway Gold v. Colombia","Canada - Colombia FTA (2008)","ICSID","ICSID","Investment: Ownership of the Reina de Oro and Coloro gold mines located in the Vetas mining district in northern Colombia.                        Summary: Claims arising out of the Colombian Constitutional Court's decision to ban mining operations in the pÇ­ramos, a range of high-altitude wetlands that serve as a primary source of the countryƒ??s water supply.","Ownership of the Reina de Oro and Coloro gold mines located in the Vetas mining district in northern Colombia.","Pending","Colombia","0.747","Canada","0.926","Primary: B - Mining and quarrying","7 - Mining of metal ores","Name not available - PresidentBullard, A. - ClaimantName not available - Respondent","196.00","Null","Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Pending","None","None","None","None","None","None","None","Name not available","Name not available","Bullard, A."
2018,"GBM Global and others v. Spain","Mexico - Spain BIT (2006)","ICSID","ICSID","Investment: Shareholding and bondholding in Banco Popular EspaÇñol, S.A., one of Spainƒ??s largest banks.                        Summary: Claims arising out of the Governmentƒ??s withdrawal of significant amounts of deposits from Banco Popular. The authorities allegedly refused to provide financial support during the Bankƒ??s ensuing liquidity crisis in 2017, which led to the Bankƒ??s forced resolution and sale to a Spanish bank ƒ?? the sole bidder in the auction ƒ?? for one euro.","Shareholding and bondholding in Banco Popular EspaÇñol, S.A., one of Spainƒ??s largest banks.","Discontinued","Spain","0.891","Mexico","0.774","Tertiary: K - Financial and insurance activities","64 - Financial service activities, except insurance and pension funding","Name not available - PresidentPark, W. W. - ClaimantName not available - Respondent","543.20","Null","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsMost-favoured nation treatmentNational treatmentDirect expropriationIndirect expropriation","Not applicable - settled or discontinued before decision on liability","Order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 44 dated 27 June 2019","None","None","None","None","None","None","Name not available","Name not available","Park, W. W."
2018,"Gran Colombia v. Colombia","Canada - Colombia FTA (2008)","ICSID","ICSID","Investment: Mining rights over gold and silver deposits in the Segovia and Marmato municipalities in Colombia.                        Summary: Claims arising out of the Governmentƒ??s alleged failure to address civil strikes and other disruptions to the claimantƒ??s mining projects caused by illegal artisanal miners and a guerilla group.","Mining rights over gold and silver deposits in the Segovia and Marmato municipalities in Colombia.","Pending","Colombia","0.747","Canada","0.926","Primary: B - Mining and quarrying","7 - Mining of metal ores","Malintoppi, L. - President (replaced)Hanotiau, B. - ClaimantStern, B. - RespondentKalicki, J. E. - President","700.00","Null","Data not available","Pending","None","None","None","None","None","None","None","Kalicki, J. E.","Stern, B.","Hanotiau, B."
2018,"Iconia v. Georgia","Georgia - United States of America BIT (1994)","UNCITRAL","Data not available","Investment: Investments in a 2,405 m2 land plot for a real estate development project in the Vake-Saburtalo district of Tbilisi, Georgia.                        Summary: Claims arising out of alleged measures by Georgian courts and government officials to delay and halt the claimantƒ??s project to construct a commercial-residential apartment complex in the city center of Tbilisi. Allegedly, this included attempts by local opposition to take over the claimantƒ??s land plot, harassment of the claimantƒ??s employees and a refusal to issue construction permits.","Investments in a 2,405 m2 land plot for a real estate development project in the Vake-Saburtalo district of Tbilisi, Georgia.","Pending","Georgia","0.78","United States","0.924","Tertiary: L - Real estate activities","68 - Real estate activities","Data not available","10.00","Null","Data not available","Pending","None","None","None","None","None","None","None","NA","NA","NA"
2018,"International Holding Project Group and others v. Egypt","Egypt - Kuwait BIT (2001)","ICSID","ICSID","Investment:                         Summary:","","Pending","Egypt","0.696","Kuwait","0.803","Tertiary: F - Construction","41 - Construction of buildings","Data not available","15000.00","Null","Data not available","Pending","None","None","None","None","None","None","None","NA","NA","NA"
