"Year of initiation","Short case name","Applicable IIA","Arbitral rules","Administering institution","Summary","Details of investment","Outcome of original proceedings","Respondent State","hDIResp","Home State of investor","hDIClaim","Economic sector","Economic subsector","Arbitrators","amountClaimed","amountAwarded","Breaches alleged","Breaches found","Decisions","Individual opinions","Follow-on proceeding type","Follow-on proceeding status","Follow-on decisions","Follow-on individual opinions","ICSID annulment committee members","aPresidentC","aRespondentC","aClaimantC","damagesRatio"
2009,"Valle Esina v. Russia","Italy - Russian Federation BIT (1996)","UNCITRAL","Data not available","Investment:                         Summary:","","Decided in favour of investor","Russian Federation",0.816,"Italy",0.88,"Data not available","Data not available","Kaufmann-Kohler, G. - PresidentBernardini, P. - ClaimantZykin, I. S. - Respondent",0,11.3,"Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Direct expropriation","Award dated June 2014","None","None","None","None","None","None","Kaufmann-Kohler, G.","Zykin, I. S.","Bernardini, P.","0"
2011,"Belokon v. Kyrgyzstan","Kyrgyzstan - Latvia BIT (2008)","UNCITRAL","None","Investment: Ownership of Manas Bank, a Kyrgyztani financial institution.                        Summary: Claims arising out of the alleged expropriation of a local bank owned by the claimant, following the long-term imposition of a special administrator during governmental investigations of the bank concerning financial fraud.","Ownership of Manas Bank, a Kyrgyztani financial institution.","Decided in favour of investor","Kyrgyzstan",0.672,"Latvia",0.847,"Tertiary: K - Financial and insurance activities","64 - Financial service activities, except insurance and pension funding","Paulsson, J. - PresidentHobÃƒâ€¡Ã‚Â¸r, K. - ClaimantSchiersing, N. - Respondent",0,15,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measuresFull protection and security, or similar","Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measures","Award dated 24 October 2014","None","Judicial review by national courts","Award/decision set aside in its entirety (Judicial review by national courts)","Decision of the Paris Court of Appeal dated 21 February 2017 (Judicial review by national courts)","None","None","Paulsson, J.","Schiersing, N.","HobÃƒâ€¡Ã‚Â¸r, K.","0"
2011,"Baggerwerken v. Philippines","BLEU (Belgium-Luxembourg Economic Union) - Philippines BIT (1998)","ICSID","ICSID","Investment: Rights under a dredging contract concluded with the Philippines' Department of Environment and Natural Resources.                        Summary: Claims arising out of the Government's unilateral termination of a contract entered into by the previous administration with the claimant for the rehabilitation of Laguna Lake to reduce flooding caused by heavy siltation and to improve the ecological condition of the area.","Rights under a dredging contract concluded with the Philippines' Department of Environment and Natural Resources.","Decided in favour of investor","Philippines",0.699,"Belgium",0.916,"Tertiary: E - Water supply; sewerage, waste management and remediation activitiesTertiary: E - Water supply; sewerage, waste management and remediation activities","36 - Water collection, treatment and supply39 - Remediation activities and other waste management services","Tercier, P. - PresidentAlexandrov, S. A. - ClaimantThomas, J. C. - Respondent",0,16,"Data not available","Data not available","Award dated 23 January 2017","Concurring Opinion by Pierre TercierSeparate Opinion by Stanimir A. Alexandrov","None","None","None","None","None","Tercier, P.","Thomas, J. C.","Alexandrov, S. A.","0"
2011,"Copper Mesa v. Ecuador","Canada - Ecuador BIT (1996)","UNCITRAL","PCA","Investment: Concession rights held through local subsidiaries for two open-pit mines located in the JunÃƒâ€¡ÃƒÂ°n and Chaucha regions of Ecuador; right of acquisition over a third mining project in the area of Telinbela.                        Summary: Claims arising out of the alleged termination by the Government of mining concessions in the Ecuadorian areas of JunÃƒâ€¡ÃƒÂ°n, Chaucha and Telinbela, in which the claimant had invested.","Concession rights held through local subsidiaries for two open-pit mines located in the JunÃƒâ€¡ÃƒÂ°n and Chaucha regions of Ecuador; right of acquisition over a third mining project in the area of Telinbela.","Decided in favour of investor","Ecuador",0.752,"Canada",0.926,"Primary: B - Mining and quarrying","7 - Mining of metal ores","Veeder, V. V. - PresidentCremades, B. M. - ClaimantSimma, B. - Respondent",0,19.4,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarNational treatmentDirect expropriationIndirect expropriation","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarIndirect expropriationDirect expropriation","Award dated 15 March 2016","None","Judicial review by national courts","Pending (Judicial review by national courts)","None","None","None","Veeder, V. V.","Simma, B.","Cremades, B. M.","0"
2013,"Beck v. Kyrgyzstan","CIS Investor Rights Convention (1997)","MCCI","MCCI","Investment: Rights under certain lease agreements.                        Summary: Claims arising out of the alleged expropriation of claimant's investment by terminating certain lease agreements with respect to various land plots to develop a theme park in Bishkek.","Rights under certain lease agreements.","Decided in favour of investor","Kyrgyzstan",0.672,"Korea (Republic of)",0.903,"Tertiary: L - Real estate activities","68 - Real estate activities","Vilkova, N. - PresidentAvtonomov, A. S. - UnknownShafir, A. M. - Unknown",0,23,"Indirect expropriation","Indirect expropriation","Award dated 13 November 2013","None","Judicial review by national courts","Award/decision set aside in its entirety (Judicial review by national courts)","Judgment of the Moscow Arbitrazh Court on Application to Set Aside Award dated 24 June 2014 (Judicial review by national courts)Judgment of the Moscow Arbitrazh Court on Application to Set Aside Award dated 5 June 2015 (Judicial review by national courts)","None","None","Vilkova, N.",NA,NA,"0"
2013,"Edenred v. Hungary","France - Hungary BIT (1986)","ICSID","ICSID","Investment: Company engaged in the sale of social vouchers in Hungary.                        Summary: Claims arising out of the enactment of legislation granting the Government a monopoly over the prepaid corporate vouchers industry, allegedly introducing a State-run voucher system with conditions more favourable than those granted to private operators.","Company engaged in the sale of social vouchers in Hungary.","Decided in favour of investor","Hungary",0.838,"France",0.901,"Tertiary: N - Administrative and support service activities","82 - Office administrative, office support and other business support activities","FernÃƒâ€¡Ã‚Â­ndez-Armesto, J. - PresidentOrrego VicuÃƒâ€¡ÃƒÂ±a, F. - Claimant (replaced)Tschanz, P.-Y. - Claimantvon Wobeser, C. - Respondent",0,24.3,"Indirect expropriation","Indirect expropriation","Decision on the RespondentÃ†â€™??s preliminary objections pursuant to ICSID Arbitration Rule 41(5) dated 6 June 2014Decision concerning the RespondentÃ†â€™??s request to address the objections to jurisdiction as a preliminary question dated 16 October 2014Award dated 13 December 2016Decision on Revision dated 7 February 2019","None","ICSID annulment proceedings","Pending (ICSID annulment proceedings)","None","None","Verhoosel, G. - MemberUfot, D. U. - MemberLow, L. A. - PresidentTercier, P. - President (replaced)Yusuf, A. A. - President (replaced)","FernÃƒâ€¡Ã‚Â­ndez-Armesto, J.","von Wobeser, C.","Tschanz, P.-Y.","0"
2010,"von Pezold and others v. Zimbabwe","Germany - Zimbabwe BIT (1995)Switzerland - Zimbabwe BIT (1996)","ICSID","ICSID","Investment: Ownership of forestry and agricultural businesses in Zimbabwe engaged in the production of tobacco, timber, tea, coffee and macadamia nuts.                        Summary: Claims arising out of the Government's expropriation without compensation of three estates owned by the claimants, including forestry and agricultural businesses, in the context of Zimbabwe's 2000 land reform programme.","Ownership of forestry and agricultural businesses in Zimbabwe engaged in the production of tobacco, timber, tea, coffee and macadamia nuts.","Decided in favour of investor","Zimbabwe",0.535,"Germany",0.936,"Primary: A - Agriculture, forestry and fishing","1 - Crop and animal production, hunting and related service activities","Fortier, L. Y. - PresidentWilliams, D. A. R. - ClaimantHwang, M. - RespondentChen, A. - Respondent (replaced)Mutharika, A. P. - Respondent (replaced)",0,64.9,"Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarArbitrary, unreasonable and/or discriminatory measuresTransfer of funds","Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsTransfer of fundsArbitrary, unreasonable and/or discriminatory measures","Award dated 28 July 2015","None","ICSID annulment proceedings","Award/decision upheld (ICSID annulment proceedings)","Decision on Annulment dated 21 November 2018 (ICSID annulment proceedings)","None","Heiskanen, V. - PresidentKalicki, J. E. - MemberKettani, A. - Member","Fortier, L. Y.","Hwang, M.","Williams, D. A. R.","0"
2014,"Sodexo Pass v. Hungary","France - Hungary BIT (1986)","ICSID","ICSID","Investment: Company engaged in the sale of social vouchers in Hungary.                        Summary: Claims arising out of the enactment of legislation granting the Government a monopoly over the prepaid corporate vouchers industry, allegedly introducing a State-run voucher system with conditions more favourable than those granted to private operators.","Company engaged in the sale of social vouchers in Hungary.","Decided in favour of investor","Hungary",0.838,"France",0.901,"Tertiary: N - Administrative and support service activities","82 - Office administrative, office support and other business support activities","Park, W. W. - PresidentCarlevaris, A. - ClaimantThomas, J. C. - Respondent",0,83.3,"Indirect expropriation","Indirect expropriation","Award dated 28 January 2019","Separate and Dissenting Opinion of J. Christopher Thomas","ICSID annulment proceedings","Pending (ICSID annulment proceedings)","None","None","Jana Linetzky, A. - PresidentOnwuamaegbu, U. - Membervan Haersolte-Van Hof, J. J. - Member","Park, W. W.","Thomas, J. C.","Carlevaris, A.","0"
2012,"Tenaris and Talta v. Venezuela (II)","Portugal - Venezuela, Bolivarian Republic of BIT (1994)BLEU (Belgium-Luxembourg Economic Union) - Venezuela, Bolivarian Republic of BIT (1998)","ICSID","ICSID","Investment: Shareholding in two Venezuelan companies involved in the steel sector, Tavsa and Comsigua.                        Summary: Claims arising out of the expropriation of two Venezuelan companies in which the claimants had invested, the steel production company Tavsa and the hot briquetted iron producer Comsigua.","Shareholding in two Venezuelan companies involved in the steel sector, Tavsa and Comsigua.","Decided in favour of investor","Venezuela (Bolivarian Republic of)",0.761,"Luxembourg",0.904,"Secondary: C - Manufacturing","24 - Manufacture of basic metals","FernÃƒâ€¡Ã‚Â­ndez-Armesto, J. - PresidentGÃƒâ€¡ÃƒÂ¼mez-PinzÃƒâ€¡ÃƒÂ¼n, E. - ClaimantStern, B. - Respondent",0,137,"Direct expropriation","Direct expropriation","Decision on the RespondentsÃ†â€™?? request to address the objections to jurisdiction as a preliminary question dated 15 January 2014Award dated 12 December 2016","None","ICSID annulment proceedings","Award/decision upheld (ICSID annulment proceedings)","Decision on Annulment dated 28 December 2018 (ICSID annulment proceedings)","None","Knieper, R. - PresidentMoreno RodrÃƒâ€¡ÃƒÂ°guez, J. A. - MemberPierola Castro, N. F. - MemberJimÃƒâ€¡Ã‚Â¸nez Figueres, D. - Member (replaced)","FernÃƒâ€¡Ã‚Â­ndez-Armesto, J.","Stern, B.","GÃƒâ€¡ÃƒÂ¼mez-PinzÃƒâ€¡ÃƒÂ¼n, E.","0"
2012,"GarcÃƒâ€¡ÃƒÂ°a Armas and GarcÃƒâ€¡ÃƒÂ°a Gruber v. Venezuela","Spain - Venezuela, Bolivarian Republic of BIT (1995)","UNCITRAL","PCA","Investment: Shareholding in the Venezuelan food companies Alimentos Frisa, C.A. and Transporte Dole, C.A.                        Summary: Claims arising out of the alleged expropriation of claimants' investments in two Venezuelan companies engaged in food distribution and marketing.","Shareholding in the Venezuelan food companies Alimentos Frisa, C.A. and Transporte Dole, C.A.","Decided in favour of investor","Venezuela (Bolivarian Republic of)",0.761,"Spain",0.891,"Secondary: C - Manufacturing","10 - Manufacture of food products","Grebler, E. - PresidentTawil, G. S. - ClaimantOreamuno Blanco, R. - Respondent",0,214,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measures","Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measures","Decision on Jurisdiction dated 15 December 2014Award dated 26 April 2019","Dissenting Opinion of the arbitrator R. Oreamuno Blanco on one aspect of the basis for the decision (Decision on Jurisdiction)","Judicial review by national courts","Pending (Judicial review by national courts)","Decision of the Paris Court of Appeal dated 25 April 2017 (Judicial review by national courts)Judgment of the French Court of Cassation dated 13 February 2019 (Judicial review by national courts)","None","None","Grebler, E.","Oreamuno Blanco, R.","Tawil, G. S.","0"
2013,"Valores Mundiales and Consorcio Andino v. Venezuela","Spain - Venezuela, Bolivarian Republic of BIT (1995)","ICSID","ICSID","Investment: Ownership of two local cornflour and tortillas production companies, Monaca and Demaseca.                        Summary: Claims arising out of the Government's issuance of a decree that expropriated claimants' tortilla and corn flour production businesses in Venezuela.","Ownership of two local cornflour and tortillas production companies, Monaca and Demaseca.","Decided in favour of investor","Venezuela (Bolivarian Republic of)",0.761,"Spain",0.891,"Secondary: C - Manufacturing","10 - Manufacture of food products","Zuleta, E. - PresidentGrigera NaÃƒâ€¡ÃƒÂ¼n, H. A. - ClaimantDerains, Y. - Respondent",0,430.4,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measuresTransfer of fundsIndirect expropriation","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measuresTransfer of funds","Decision on the RespondentÃ†â€™??s request to address the objections to jurisdiction as a preliminary question dated 1 October 2014Award dated 25 July 2017","None","ICSID annulment proceedings","Pending (ICSID annulment proceedings)","None","None","Radicati di Brozolo, L. - PresidentDe Quadros, F. - MemberMoreno RodrÃƒâ€¡ÃƒÂ°guez, J. A. - MemberJimÃƒâ€¡Ã‚Â¸nez Figueres, D. - Member (replaced)","Zuleta, E.","Derains, Y.","Grigera NaÃƒâ€¡ÃƒÂ¼n, H. A.","0"
2013,"Sorelec v. Libya","France - Libya BIT (2004)","ICC","ICC","Investment:                         Summary:","","Decided in favour of investor","Libya",0.706,"France",0.901,"Data not available","Data not available","Fortier, L. Y. - PresidentHanotiau, B. - ClaimantLoquin, E. - Respondent",0,452,"Data not available","Data not available","Interim Award dated 20 December 2017Final Award dated 10 April 2018","None","None","None","None","None","None","Fortier, L. Y.","Loquin, E.","Hanotiau, B.","0"
2011,"Al-Kharafi v. Libya and others","Arab Investment Agreement (1980)","Ad hoc","CRCICA","Investment: Rights under a lease agreement for the establishment of a tourism project concluded with the Tourism Development Authority.                        Summary: Claims arising out of the issuance of a decision by the Libyan Minister of Industry, Economy and Trade by virtue of which a licence previously granted to the claimant for the establishment of a touristic investment project in Tripoli, Libya, was annulled.","Rights under a lease agreement for the establishment of a tourism project concluded with the Tourism Development Authority.","Decided in favour of investor","Libya",0.706,"Kuwait",0.803,"Tertiary: L - Real estate activities","68 - Real estate activities","El-Ahdab, A. H. - PresidentFawzi, I. - ClaimantEl-Kamoudi El-Hafi, M. - Respondent",0,935,"Arbitrary, unreasonable and/or discriminatory measuresOther","Arbitrary, unreasonable and/or discriminatory measures","Final Arbitral Award dated 22 March 2013","None","Judicial review by national courts","Award/decision upheld (Judicial review by national courts)","Decision of the Arab Investment Court dated 12 June 2014 (Judicial review by national courts)Judgment of the Paris Court of Appeal dated 28 October 2014 (Judicial review by national courts)","None","None","El-Ahdab, A. H.","El-Kamoudi El-Hafi, M.","Fawzi, I.","0"
2009,"Bogdanov v. Moldova (III)","Moldova, Republic of - Russian Federation BIT (1998)","SCC","SCC","Investment: Ownership of the chemicals import company ""Grand Torg"", domiciled in the Free Enterprise Zone Expo-Business-Chisinau.                        Summary: Claims arising out of the alleged wrongdoing on the part of Moldova's Customs Department, after it supposedly restricted the operations of claimant's company in a so-called free economic zone by unilaterally collecting from claimant's investment a fee for each customs declaration which was considered by the investor as a more onerous customs regime than that existing at its time of registration.","Ownership of the chemicals import company ""Grand Torg"", domiciled in the Free Enterprise Zone Expo-Business-Chisinau.","Decided in favour of investor","Moldova (Republic of)",0.7,"Russian Federation",0.816,"Secondary: C - Manufacturing","20 - Manufacture of chemicals and chemical products","Nilsson, B. G. H. - Sole arbitrator",0.04,0.03,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarArbitrary, unreasonable and/or discriminatory measures","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarArbitrary, unreasonable and/or discriminatory measures","Final Award dated 30 March 2010","None","None","None","None","None","None",NA,NA,NA,"0.75"
2004,"Bogdanov v. Moldova (I)","Moldova, Republic of - Russian Federation BIT (1998)","SCC","SCC","Investment: Ownership of local investment company that had a privatization contract with Moldovan authorities for the purchase of a majority shareholding in the capital of certain privatized company.                        Summary: Claims arising out of the Moldovan Department of Privatization's refusal to fully compensate the value of the investors' assets that were transferred to the State in accordance with certain privatization contract.","Ownership of local investment company that had a privatization contract with Moldovan authorities for the purchase of a majority shareholding in the capital of certain privatized company.","Decided in favour of investor","Moldova (Republic of)",0.7,"Russian Federation",0.816,"Tertiary: M - Professional, scientific and technical activities","74 - Other professional, scientific and technical activities","Cordero-Moss, G. - Sole arbitrator",0.04,0.05,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similar","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Award dated 22 September 2005","None","None","None","None","None","None",NA,NA,NA,"1.25"
